kickoff,home_team,away_team,n_bookmakers,book_home_%,book_draw_%,book_away_%,poly_home_%,poly_draw_%,poly_away_%,poly_moneyline_source,consensus_home_%,consensus_draw_%,consensus_away_%,consensus_sources,scoreline_source,score_1st,score_1st_%,score_2nd,score_2nd_%,score_3rd,score_3rd_%,score_4th,score_4th_%,score_5th,score_5th_%
2026-06-14 23:00 UTC,Ivory Coast,Ecuador,53,26.8,33.5,39.7,26.6,33.7,39.7,match,26.8,33.5,39.7,"bookmakers, polymarket_match",polymarket,1 - 1,11.9,0 - 1,11.5,0 - 0,11.5,1 - 0,9.4,0 - 2,8.2
2026-06-15 02:00 UTC,Sweden,Tunisia,53,49.3,28.1,22.5,50.2,28.4,21.4,match,49.6,28.2,22.2,"bookmakers, polymarket_match",polymarket,1 - 0,15.2,1 - 1,11.5,2 - 0,10.6,2 - 1,9.7,0 - 1,8.8
2026-06-15 16:00 UTC,Spain,Cape Verde,53,87.5,8.7,3.8,90.5,6.6,2.9,match,88.4,8.0,3.5,"bookmakers, polymarket_match",polymarket,2 - 0,15.5,3 - 0,14.4,1 - 0,11.2,3 - 1,10.1,2 - 1,8.0
2026-06-15 19:00 UTC,Belgium,Egypt,53,57.3,24.7,18.0,58.2,24.4,17.4,match,57.6,24.6,17.9,"bookmakers, polymarket_match",polymarket,1 - 0,12.3,2 - 0,11.0,1 - 1,9.6,2 - 1,9.6,0 - 1,7.3
2026-06-15 22:00 UTC,Saudi Arabia,Uruguay,53,12.3,21.5,66.2,11.3,21.2,67.5,match,12.0,21.4,66.6,"bookmakers, polymarket_match",polymarket,0 - 1,14.3,0 - 2,13.7,1 - 2,9.7,1 - 1,8.0,0 - 3,7.4
2026-06-16 01:00 UTC,Iran,New Zealand,51,50.4,27.8,21.8,51.2,28.4,20.4,match,50.6,28.0,21.4,"bookmakers, polymarket_match",polymarket,1 - 0,12.4,1 - 1,10.6,2 - 0,9.8,0 - 0,8.9,2 - 1,8.9
2026-06-16 19:00 UTC,France,Senegal,52,65.0,21.7,13.3,66.2,21.4,12.4,match,65.3,21.6,13.1,"bookmakers, polymarket_match",polymarket,1 - 0,12.2,2 - 0,11.7,1 - 1,9.0,2 - 1,9.0,3 - 0,7.2
2026-06-16 22:00 UTC,Iraq,Norway,52,7.1,14.1,78.8,6.5,13.4,80.1,match,6.9,13.9,79.2,"bookmakers, polymarket_match",polymarket,2 - 3,14.8,1 - 3,14.5,2 - 0,14.5,0 - 0,14.3,2 - 1,14.3
2026-06-17 01:00 UTC,Argentina,Algeria,52,68.1,20.8,11.0,69.2,20.4,10.4,match,68.4,20.7,10.8,"bookmakers, polymarket_match",polymarket,2 - 0,15.1,1 - 0,14.1,2 - 1,10.1,0 - 0,7.6,1 - 1,7.6
2026-06-17 04:00 UTC,Austria,Jordan,52,72.2,17.6,10.3,73.9,16.6,9.5,match,72.7,17.3,10.0,"bookmakers, polymarket_match",polymarket,2 - 0,12.1,1 - 0,9.9,2 - 1,9.4,0 - 0,6.7,1 - 1,6.7
2026-06-17 17:00 UTC,Portugal,DR Congo,50,74.6,16.8,8.6,76.1,16.4,7.5,match,75.0,16.7,8.3,"bookmakers, polymarket_match",polymarket,0 - 0,20.6,2 - 0,20.6,0 - 2,19.7,1 - 0,5.9,2 - 1,4.5
2026-06-17 20:00 UTC,England,Croatia,51,54.9,25.4,19.7,56.2,25.4,18.4,match,55.3,25.4,19.3,"bookmakers, polymarket_match",polymarket,0 - 0,10.1,3 - 1,10.1,3 - 2,10.1,3 - 0,10.1,1 - 0,9.7
2026-06-17 23:00 UTC,Ghana,Panama,50,46.2,27.6,26.2,46.3,27.4,26.4,match,46.2,27.5,26.2,"bookmakers, polymarket_match",polymarket,2 - 1,9.1,1 - 0,8.2,1 - 1,8.2,0 - 0,6.8,3 - 1,6.8
2026-06-18 02:00 UTC,Uzbekistan,Colombia,50,11.7,20.8,67.5,10.4,20.4,69.2,match,11.3,20.7,68.0,"bookmakers, polymarket_match",polymarket,0 - 1,10.8,0 - 2,8.4,3 - 1,6.4,3 - 2,6.4,3 - 0,6.4
